rank,prev_rank,name,league,off,def,spi
186,181,Vasco da Gama,Brasileiro Série A,1.26,1.03,51.05
187,179,Preston North End,English League Championship,1.38,1.16,51.02
188,189,FK Partizan Belgrade,UEFA Europa League,1.47,1.24,50.94
189,173,Bristol City,English League Championship,1.45,1.22,50.92
190,190,Ferencvaros,UEFA Europa League,1.51,1.29,50.9
191,183,Swansea City,English League Championship,1.48,1.26,50.79
192,185,VfB Stuttgart,German 2. Bundesliga,1.52,1.3,50.73
193,192,Velez Sarsfield,Argentina Primera Division,1.29,1.08,50.58
194,175,Pachuca,Mexican Primera Division Torneo Apertura,1.58,1.37,50.45
195,191,FC Arsenal Tula,Russian Premier Liga,1.35,1.15,50.39
196,204,AIK,Swedish Allsvenskan,1.32,1.12,50.37
197,200,Shandong Luneng,Chinese Super League,1.59,1.39,50.35
198,207,Anderlecht,Belgian Jupiler League,1.38,1.18,50.26
199,199,Sheffield Wednesday,English League Championship,1.31,1.12,50.17
200,195,Kawasaki Frontale,Japanese J League,1.44,1.26,50.02
201,198,Djurgardens IF,Swedish Allsvenskan,1.29,1.11,49.76
202,197,Jiangsu Suning FC,Chinese Super League,1.45,1.29,49.55
203,194,Gazovik Orenburg,Russian Premier Liga,1.44,1.28,49.32
204,211,Queens Park Rangers,English League Championship,1.45,1.3,49.12
205,209,Ceará,Brasileiro Série A,1.21,1.07,48.73
206,205,Hamburg SV,German 2. Bundesliga,1.38,1.26,48.55
207,208,New York City FC,Major League Soccer,1.53,1.44,47.95
208,234,Rayo Vallecano,Spanish Segunda Division,1.4,1.31,47.9
209,203,Fluminense,Brasileiro Série A,1.32,1.23,47.85
210,212,Blackburn,English League Championship,1.35,1.26,47.78
211,206,Atlanta United FC,Major League Soccer,1.49,1.41,47.77
212,202,CA Independiente,Argentina Primera Division,1.23,1.15,47.49
213,215,Newell's Old Boys,Argentina Primera Division,1.2,1.12,47.38
214,236,Alanyaspor,Turkish Turkcell Super Lig,1.45,1.38,47.34
215,217,FC Ufa,Russian Premier Liga,1.05,0.96,47.29
216,223,St Gallen,Swiss Raiffeisen Super League,1.5,1.44,47.17
217,220,Yokohama F. Marinos,Japanese J League,1.54,1.5,46.85
218,201,Girona FC,Spanish Segunda Division,1.38,1.34,46.79
219,222,Birmingham,English League Championship,1.24,1.19,46.62
220,221,Necaxa,Mexican Primera Division Torneo Apertura,1.39,1.36,46.45
221,235,KV Kortrijk,Belgian Jupiler League,1.48,1.46,46.42
222,218,Millwall,English League Championship,1.26,1.23,46.4
223,229,Sivasspor,Turkish Turkcell Super Lig,1.54,1.52,46.39
224,244,Krylia Sovetov,Russian Premier Liga,1.26,1.23,46.11
225,225,Portimonense,Portuguese Liga,1.26,1.24,46.07
226,216,Pumas Unam,Mexican Primera Division Torneo Apertura,1.22,1.2,46.04
227,213,Derby County,English League Championship,1.34,1.33,45.9
228,226,Philadelphia Union,Major League Soccer,1.49,1.5,45.89
229,243,Aris Salonika,Greek Super League,1.42,1.42,45.87
230,227,Santa Clara,Portuguese Liga,1.2,1.18,45.86
231,251,FC Luzern,Swiss Raiffeisen Super League,1.37,1.36,45.86
232,241,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.25,1.24,45.81
233,246,Lanus,Argentina Primera Division,1.28,1.27,45.76
234,214,Antwerp,Belgian Jupiler League,1.4,1.41,45.66
235,230,Konyaspor,Turkish Turkcell Super Lig,1.17,1.16,45.59
236,268,FC Nordsjaelland,Danish SAS-Ligaen,1.53,1.55,45.57
237,224,Odense BK,Danish SAS-Ligaen,1.22,1.21,45.54
238,232,CFR 1907 Cluj,UEFA Europa League,1.42,1.44,45.51
239,245,Dinamo Moscow,Russian Premier Liga,1.05,1.04,45.36
240,228,Banfield,Argentina Primera Division,1.14,1.14,45.3
241,237,Famalicao,Portuguese Liga,1.34,1.36,45.27
242,238,Slovan Bratislava,UEFA Europa League,1.25,1.26,45.24
243,291,Heerenveen,Dutch Eredivisie,1.56,1.6,45.24
244,242,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.49,1.53,45.14
245,240,Defensa y Justicia,Argentina Primera Division,1.08,1.09,44.97
246,252,Sochi,Russian Premier Liga,1.19,1.22,44.8
247,233,Mouscron-Peruwelz,Belgian Jupiler League,1.21,1.25,44.55
248,249,Querétaro,Mexican Primera Division Torneo Apertura,1.29,1.34,44.44
249,219,AGF Aarhus,Danish SAS-Ligaen,1.33,1.39,44.42
250,266,BK Hacken,Swedish Allsvenskan,1.22,1.27,44.37
251,231,Hull City,English League Championship,1.33,1.39,44.33
252,250,Lorient,French Ligue 2,1.28,1.33,44.32
253,254,Boavista,Portuguese Liga,1.05,1.09,44.2
254,256,Fortaleza,Brasileiro Série A,1.22,1.28,44.08
255,278,FC Groningen,Dutch Eredivisie,1.16,1.22,43.94
256,239,SV Zulte Waregem,Belgian Jupiler League,1.48,1.57,43.94
257,274,Cadiz,Spanish Segunda Division,1.14,1.2,43.91
258,248,Middlesbrough,English League Championship,1.23,1.3,43.89
259,255,PFC Oleksandriya,UEFA Europa League,1.29,1.37,43.89
260,270,Ural Sverdlovsk Oblast,Russian Premier Liga,1.4,1.49,43.79
261,276,Argentinos Juniors,Argentina Primera Division,1.04,1.09,43.76
262,257,Toronto FC,Major League Soccer,1.46,1.57,43.72
263,271,Botafogo,Brasileiro Série A,1.12,1.19,43.57
264,258,Chicago Fire,Major League Soccer,1.45,1.56,43.52
265,267,Sanfrecce Hiroshima,Japanese J League,1.18,1.26,43.4
266,259,Moreirense,Portuguese Liga,1.15,1.23,43.39
267,260,Randers FC,Danish SAS-Ligaen,1.25,1.35,43.37
268,295,Morelia,Mexican Primera Division Torneo Apertura,1.3,1.4,43.36
269,262,San Lorenzo,Argentina Primera Division,1.15,1.24,43.33
270,247,Terek Grozny,Russian Premier Liga,1.02,1.09,43.23
271,275,Cerezo Osaka,Japanese J League,1.01,1.08,43.18
272,279,Reading,English League Championship,1.19,1.28,43.13
273,261,Guingamp,French Ligue 2,1.3,1.41,43.11
274,253,Tijuana,Mexican Primera Division Torneo Apertura,1.36,1.48,43.06
275,269,Arizona United,United Soccer League,1.57,1.72,43.05
276,290,Union Santa Fe,Argentina Primera Division,1.07,1.17,42.84
277,265,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.47,1.64,42.55
278,280,Guadalajara,Mexican Primera Division Torneo Apertura,1.18,1.31,42.41
279,283,Pacos Ferreira,Portuguese Liga,1.2,1.33,42.28
280,287,Wigan,English League Championship,1.15,1.28,42.26
281,284,Gil Vicente,Portuguese Liga,1.15,1.29,42.26
282,273,FC Lugano,Swiss Raiffeisen Super League,1.1,1.23,42.25
283,298,Arsenal Sarandi,Argentina Primera Division,1.23,1.38,42.18
284,288,Goztepe,Turkish Turkcell Super Lig,1.1,1.23,42.16
285,286,Los Angeles Galaxy,Major League Soccer,1.74,1.96,42.14
286,294,Hannover 96,German 2. Bundesliga,1.24,1.4,42.09
287,289,New York Red Bulls,Major League Soccer,1.38,1.56,41.98
288,264,FC Sion,Swiss Raiffeisen Super League,1.33,1.5,41.95
289,277,Talleres de Córdoba,Argentina Primera Division,1.12,1.26,41.79
290,293,Vitoria Setubal,Portuguese Liga,0.97,1.1,41.73
291,292,Rosenborg,Norwegian Tippeligaen,1.36,1.55,41.73
292,299,Rubin Kazan,Russian Premier Liga,0.93,1.05,41.7
293,296,Sporting de Charleroi,Belgian Jupiler League,1.31,1.51,41.42
294,308,Atlas,Mexican Primera Division Torneo Apertura,1.13,1.3,41.34
295,303,Portland Timbers,Major League Soccer,1.44,1.66,41.32
296,272,ADO Den Haag,Dutch Eredivisie,1.48,1.71,41.28
297,297,Lens,French Ligue 2,1.13,1.3,41.26
298,318,FC Tokyo,Japanese J League,1.05,1.21,41.19
299,301,Toluca,Mexican Primera Division Torneo Apertura,1.18,1.37,41.06
300,302,FC Dallas,Major League Soccer,1.37,1.6,40.98
301,304,Rosario Central,Argentina Primera Division,1.02,1.19,40.98
302,306,Seattle Sounders FC,Major League Soccer,1.34,1.57,40.97
303,281,Sparta,Dutch Eredivisie,1.34,1.57,40.86
304,300,Troyes,French Ligue 2,1.09,1.27,40.82
305,282,Atromitos,Greek Super League,1.16,1.37,40.67
306,316,AaB,Danish SAS-Ligaen,1.18,1.4,40.65
307,321,OFI Crete,Greek Super League,1.22,1.44,40.59
308,285,St. Truidense,Belgian Jupiler League,1.27,1.5,40.51
309,263,Perth Glory,Australian A-League,1.27,1.51,40.38
310,322,Heracles,Dutch Eredivisie,1.45,1.73,40.24
311,310,Almeria,Spanish Segunda Division,1.08,1.3,40.17
312,312,Tondela,Portuguese Liga,1.2,1.44,40.13
313,313,San Jose Earthquakes,Major League Soccer,1.4,1.68,40.13
314,314,Belenenses,Portuguese Liga,1.09,1.32,40.07
315,311,Goiás,Brasileiro Série A,1.12,1.35,40.05
316,315,Estudiantes,Argentina Primera Division,0.98,1.18,40.02
317,329,Luton Town,English League Championship,1.19,1.43,39.97
318,319,Mamelodi Sundowns,South African ABSA Premier League,1.13,1.37,39.8
319,305,Puebla,Mexican Primera Division Torneo Apertura,1.14,1.39,39.72
320,320,Central Córdoba Santiago del Estero,Argentina Primera Division,1.1,1.34,39.7
321,307,Chapecoense AF,Brasileiro Série A,1.04,1.27,39.7
322,335,Hartberg,Austrian T-Mobile Bundesliga,1.53,1.86,39.44
323,343,Charlton Athletic,English League Championship,1.15,1.41,39.42
324,337,Shanghai Greenland,Chinese Super League,1.36,1.66,39.4
325,324,Arminia Bielefeld,German 2. Bundesliga,1.23,1.51,39.36
326,330,Atlético Tucumán,Argentina Primera Division,1.04,1.28,39.26
327,325,Desportivo Aves,Portuguese Liga,1.13,1.4,39.14
328,323,Tianjin Teda,Chinese Super League,1.18,1.47,39.02
329,332,Wuhan Zall,Chinese Super League,1.17,1.45,38.95
330,327,Minnesota United FC,Major League Soccer,1.27,1.58,38.87
331,328,Bodo/Glimt,Norwegian Tippeligaen,1.46,1.81,38.87
332,309,Caykur Rizespor,Turkish Turkcell Super Lig,1.28,1.6,38.83
333,326,1. FC Nürnberg,German 2. Bundesliga,1.26,1.58,38.81
334,317,Dalian Aerbin,Chinese Super League,1.3,1.62,38.79
335,334,Sydney FC,Australian A-League,1.27,1.59,38.78
336,356,KV Mechelen,Belgian Jupiler League,1.24,1.57,38.5
337,382,Melbourne City,Australian A-League,1.15,1.46,38.47
338,339,Maritimo,Portuguese Liga,1.12,1.44,38.19
339,342,Huracán,Argentina Primera Division,0.99,1.29,37.9
340,338,Real Salt Lake,Major League Soccer,1.03,1.34,37.9
341,340,Patronato,Argentina Primera Division,1.02,1.34,37.73
342,364,Málaga,Spanish Segunda Division,0.91,1.19,37.73
343,344,Empoli,Italy Serie B,1.16,1.51,37.71
344,346,Henan Jianye,Chinese Super League,1.17,1.53,37.59
345,352,New England Revolution,Major League Soccer,1.36,1.76,37.58
346,331,FC Twente,Dutch Eredivisie,1.31,1.7,37.56
347,348,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
348,349,Columbus Crew,Major League Soccer,1.12,1.47,37.36
349,351,Colon Santa Fe,Argentina Primera Division,0.99,1.32,37.2
350,341,FC Tambov,Russian Premier Liga,1.07,1.43,37.19
351,377,Aberdeen,Scottish Premiership,1.15,1.52,37.13
352,355,Real Zaragoza,Spanish Segunda Division,1.07,1.43,37.06
353,354,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
354,359,Chongqing Lifan,Chinese Super League,1.16,1.56,36.75
355,365,Willem II,Dutch Eredivisie,1.34,1.78,36.72
356,345,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.23,1.65,36.68
357,357,F91 Dudelange,UEFA Europa League,1.42,1.9,36.35
358,333,Ipswich Town,English League One,1.1,1.51,36.25
359,379,PEC Zwolle,Dutch Eredivisie,1.35,1.81,36.22
360,336,Avaí,Brasileiro Série A,0.97,1.35,36.09
361,361,Jahn Regensburg,German 2. Bundesliga,1.28,1.75,35.94
362,366,Holstein Kiel,German 2. Bundesliga,1.23,1.69,35.92
363,358,CSA,Brasileiro Série A,1.02,1.43,35.86
364,431,Genclerbirligi,Turkish Turkcell Super Lig,1.13,1.57,35.79
365,347,SD Huesca,Spanish Segunda Division,0.97,1.36,35.77
366,353,Vissel Kobe,Japanese J League,1.54,2.07,35.71
367,367,Kilmarnock,Scottish Premiership,0.89,1.27,35.7
368,380,Las Palmas,Spanish Segunda Division,0.99,1.4,35.62
369,368,Kasimpasa,Turkish Turkcell Super Lig,1.22,1.69,35.59
370,386,Panathinaikos,Greek Super League,0.93,1.33,35.43
371,374,Hebei China Fortune FC,Chinese Super League,1.2,1.68,35.42
372,384,Gamba Osaka,Japanese J League,1.16,1.63,35.26
373,372,IFK Goteborg,Swedish Allsvenskan,1.05,1.5,35.16
374,385,Chievo Verona,Italy Serie B,1.12,1.59,35.08
375,363,Gimnasia La Plata,Argentina Primera Division,0.99,1.42,35.07
376,373,DC United,Major League Soccer,1.14,1.62,35.05
377,375,Larissa,Greek Super League,0.89,1.29,35.03
378,376,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
379,378,Bidvest Wits,South African ABSA Premier League,1.06,1.54,34.74
380,393,Sporting Gijón,Spanish Segunda Division,0.9,1.33,34.65
381,350,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.29,1.83,34.59
382,381,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.04,1.51,34.57
383,369,Guangzhou RF,Chinese Super League,1.45,2.04,34.55
384,399,Crotone,Italy Serie B,1.01,1.49,34.51
385,389,Le Havre,French Ligue 2,1.09,1.59,34.46
386,401,Asteras Tripolis,Greek Super League,0.87,1.32,34.12
387,398,Oxford United,English League One,1.22,1.77,34.11
388,362,Sonderjyske,Danish SAS-Ligaen,1.05,1.56,34.08
389,371,Sunderland,English League One,1.11,1.64,34.05
390,383,Servette,Swiss Raiffeisen Super League,1.05,1.57,33.94
391,391,Auxerre,French Ligue 2,0.97,1.47,33.8
392,412,FC Juárez,Mexican Primera Division Torneo Apertura,0.93,1.42,33.72
393,396,Emmen,Dutch Eredivisie,1.2,1.77,33.68
394,394,Orlando City SC,Major League Soccer,1.22,1.79,33.65
395,395,Orlando Pirates,South African ABSA Premier League,1.05,1.58,33.58
396,400,1. FC Heidenheim 1846,German 2. Bundesliga,1.06,1.6,33.39
397,407,FC Zurich,Swiss Raiffeisen Super League,1.0,1.53,33.35
398,417,Shenzhen FC,Chinese Super League,1.02,1.56,33.35
399,387,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.08,1.64,33.32
400,397,Tianjin Quanujian,Chinese Super League,1.12,1.69,33.3
401,405,Aldosivi,Argentina Primera Division,0.86,1.34,33.27
402,403,Benevento,Italy Serie B,0.94,1.45,33.17
403,402,Ankaragucu,Turkish Turkcell Super Lig,0.98,1.52,33.11
404,416,Barnsley,English League Championship,1.05,1.62,32.93
405,419,Nashville SC,United Soccer League,0.95,1.48,32.86
406,463,Real Oviedo,Spanish Segunda Division,1.02,1.61,32.48
407,414,Neuchatel Xamax,Swiss Raiffeisen Super League,1.1,1.71,32.37
408,404,Consadole Sapporo,Japanese J League,1.1,1.71,32.34
409,410,Caen,French Ligue 2,0.91,1.47,32.29
410,415,Kayserispor,Turkish Turkcell Super Lig,1.09,1.7,32.28
411,406,SV Mattersburg,Austrian T-Mobile Bundesliga,1.27,1.94,32.27
412,408,VfL Bochum,German 2. Bundesliga,1.19,1.84,32.26
413,421,SK Brann,Norwegian Tippeligaen,0.86,1.41,31.95
414,360,Antalyaspor,Turkish Turkcell Super Lig,1.12,1.76,31.95
415,422,Montreal Impact,Major League Soccer,1.11,1.76,31.83
416,409,FC Xanthi,Greek Super League,0.87,1.43,31.82
417,388,VVV Venlo,Dutch Eredivisie,1.22,1.9,31.81
418,427,SV Sandhausen,German 2. Bundesliga,1.03,1.65,31.74
419,424,Esbjerg,Danish SAS-Ligaen,0.99,1.6,31.73
420,418,FC St. Pauli,German 2. Bundesliga,1.06,1.7,31.72
421,423,Denizlispor,Turkish Turkcell Super Lig,0.95,1.56,31.57
422,429,Godoy Cruz,Argentina Primera Division,0.93,1.53,31.56
423,425,Haugesund,Norwegian Tippeligaen,1.0,1.63,31.51
424,428,Sochaux,French Ligue 2,0.77,1.31,31.48
425,390,Odd BK,Norwegian Tippeligaen,1.09,1.74,31.47
426,370,Deportivo La Coruña,Spanish Segunda Division,0.92,1.52,31.36
427,411,KV Oostende,Belgian Jupiler League,1.09,1.76,31.36
428,432,Albacete,Spanish Segunda Division,0.81,1.37,31.29
429,413,Fuenlabrada,Spanish Segunda Division,0.92,1.53,31.22
430,420,Elche,Spanish Segunda Division,0.88,1.48,31.0
431,433,Waasland-Beveren,Belgian Jupiler League,1.06,1.75,30.78
432,435,Tenerife,Spanish Segunda Division,0.99,1.66,30.76
433,444,Peterborough United,English League One,1.16,1.88,30.75
434,437,Viking FK,Norwegian Tippeligaen,1.09,1.8,30.72
435,434,Melbourne Victory,Australian A-League,1.07,1.77,30.67
436,446,Thun,Swiss Raiffeisen Super League,1.08,1.79,30.53
437,441,Kaizer Chiefs,South African ABSA Premier League,0.79,1.4,30.35
438,442,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
439,426,Nagoya Grampus Eight,Japanese J League,1.15,1.9,30.13
440,456,Karlsruher SC,German 2. Bundesliga,1.05,1.77,30.12
441,465,Vegalta Sendai,Japanese J League,0.97,1.67,30.03
442,453,Louisville City FC,United Soccer League,1.11,1.86,30.0
443,443,Perugia,Italy Serie B,0.91,1.59,29.99
444,449,Frosinone,Italy Serie B,0.97,1.68,29.93
445,451,Pittsburgh Riverhounds,United Soccer League,0.91,1.6,29.84
446,454,AS Nancy Lorraine,French Ligue 2,0.89,1.56,29.79
447,438,Numancia,Spanish Segunda Division,0.76,1.39,29.79
448,467,Reno 1868 FC,United Soccer League,1.18,1.97,29.75
449,481,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.25,2.06,29.71
450,459,SV Darmstadt 98,German 2. Bundesliga,0.93,1.63,29.67
451,468,Racing Santander,Spanish Segunda Division,0.9,1.59,29.61
452,450,SD Ponferradina,Spanish Segunda Division,0.91,1.61,29.59
453,461,Kristiansund BK,Norwegian Tippeligaen,1.02,1.77,29.48
454,445,Lamia,Greek Super League,0.76,1.41,29.43
455,430,Extremadura UD,Spanish Segunda Division,0.73,1.36,29.42
456,457,Adelaide United,Australian A-League,1.01,1.75,29.39
457,462,Erzgebirge Aue,German 2. Bundesliga,1.03,1.79,29.31
458,452,VfL Osnabruck,German 2. Bundesliga,0.89,1.59,29.25
459,440,Clermont Foot,French Ligue 2,0.87,1.58,29.23
460,448,Hobro IK,Danish SAS-Ligaen,0.9,1.61,29.22
461,439,Tampa Bay Rowdies,United Soccer League,1.01,1.77,29.13
462,447,Urawa Red Diamonds,Japanese J League,1.0,1.77,28.96
463,478,Volos NFC,Greek Super League,0.99,1.76,28.81
464,436,Motherwell,Scottish Premiership,1.03,1.82,28.76
465,392,Newcastle Jets,Australian A-League,1.04,1.85,28.7
466,475,Oita Trinita,Japanese J League,0.73,1.41,28.66
467,458,Dynamo Dresden,German 2. Bundesliga,0.95,1.72,28.55
468,473,AD Alcorcon,Spanish Segunda Division,0.86,1.6,28.52
469,,Western United,Australian A-League,0.95,1.72,28.48
470,466,Fortuna Sittard,Dutch Eredivisie,1.24,2.14,28.43
471,477,SpVgg Greuther Fürth,German 2. Bundesliga,0.91,1.68,28.38
472,470,Black Aces,South African ABSA Premier League,1.0,1.81,28.26
473,469,Hibernian,Scottish Premiership,0.9,1.69,28.06
474,471,Shimizu S-Pulse,Japanese J League,1.16,2.06,27.96
475,485,Real Monarchs SLC,United Soccer League,1.22,2.14,27.93
476,476,IF Elfsborg,Swedish Allsvenskan,1.01,1.85,27.84
477,474,Grenoble,French Ligue 2,0.82,1.59,27.64
478,489,Eupen,Belgian Jupiler League,0.99,1.84,27.58
479,484,Hearts,Scottish Premiership,0.88,1.69,27.35
480,455,Cittadella,Italy Serie B,0.87,1.68,27.29
481,502,Stabaek,Norwegian Tippeligaen,0.86,1.68,27.13
